vCode,databaseCode,sampleCode,isolateName,district,province,country,year,riceVarSource,riceGrowthStage,percDiseasedLeaf,institute,sampleType,runCode,lineage,AxooPopn,latitude,longitude
VCE_02809,Xo2021-2-685,Md-44a,44a,Ivory,Analamanga,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo9,,
VCE_02810,Xo2021-2-686,Md-48a,48a,Betsoana,Vakinankaratra,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo5,,
VCE_02811,Xo2021-2-686,Md-48a,48a,Betsoana,Vakinankaratra,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo7,,
VCE_02812,Xo2021-2-686,Md-48a,48a,Betsoana,Vakinankaratra,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo9,,
VCE_02813,Xo2021-2-686,Md-48a,48a,Betsoana,Vakinankaratra,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Xoc,Xoc,,
VCE_02814,Xo2021-2-687,Md-49a,49a,Betsoana,Vakinankaratra,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo7,,
VCE_02815,Xo2021-2-687,Md-49a,49a,Betsoana,Vakinankaratra,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo9,,
VCE_02816,Xo2021-2-688,Md-51a,51a,Sahanivotry,Vakinankaratra,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo7,,
VCE_02817,Xo2021-2-688,Md-51a,51a,Sahanivotry,Vakinankaratra,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo9,,
VCE_02818,Xo2021-2-689,Md-52a,52a,Sahanivotry,Vakinankaratra,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo7,,
VCE_02819,Xo2021-2-689,Md-52a,52a,Sahanivotry,Vakinankaratra,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo9,,
VCE_02173,Xo2021-2-129,BXo 2727,BXo 2727,Fartikchori,Chittagong,Bangladesh,2019.0,BRRI dhan28,Reproductive stage,0.9,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo9,,
VCE_02272,Xo2021-2-199,BXo 2795,BXo 2795,Ghior,Dhaka,Bangladesh,2020.0,Hybrid teya,Reproductive stage,0.95,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo9,,
VCE_02822,Xo2021-2-690,Md-54a,54a,Ivory,Analamanga,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo7,,
VCE_02823,Xo2021-2-690,Md-54a,54a,Ivory,Analamanga,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo9,,
VCE_02824,Xo2021-2-691,Md-57a,57a,Mandoto,Vakinankaratra,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo7,,
VCE_02825,Xo2021-2-691,Md-57a,57a,Mandoto,Vakinankaratra,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo9,,
VCE_02826,Xo2021-2-692,Md-64a,64a,Morafeno,Sofia,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo7,,
VCE_02827,Xo2021-2-692,Md-64a,64a,Morafeno,Sofia,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo9,,
VCE_02828,Xo2021-2-693,Md-65a,65a,Morafeno,Sofia,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo7,,
VCE_02829,Xo2021-2-693,Md-65a,65a,Morafeno,Sofia,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo9,,
VCE_00956,XO2020-2-513,VXO_104,VXO_104,Gia Lam,Ha Noi City,Vietnam,2016.0,,,,Agricultural Genetics Institute,DNA,XO2020-2,Lin_3,AXoo12,,
VCE_00909,XO2020-2-472,VXO_11,VXO_11,Gia Lam,Ha Noi City,Vietnam,2013.0,,,,Agricultural Genetics Institute,DNA,XO2020-2,Lin_1,AXoo1,,
